,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,submission_id,age,cups,where_drink,brew,brew_other,purchase,purchase_other,favorite,favorite_specify,additions,additions_other,dairy,sweetener,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,wfh,total_spend,why_drink,why_drink_other,taste,know_source,most_paid,most_willing,value_cafe,spent_equipment,value_equipment,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation
47,47,47,47,47,47,47,47,47,47,0Ej0WA,45-54 years old,2,At home,"Coffee extract (e.g. Cometeer), Pour over",,,,Pourover,,No - just black,,,,Fruity,Somewhat light,Light,Full caffeine,8.0,4.0,3.0,3.0,,2.0,2.0,4.0,,3.0,2.0,3.0,,3.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine",,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican
48,48,48,48,48,48,48,48,48,48,9dJYlQ,35-44 years old,2,"At home, At the office",Other,Aeropress,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Half and half,,Nutty,Somewhat strong,Medium,Full caffeine,2.0,1.0,5.0,2.0,,2.0,3.0,3.0,,2.0,3.0,4.0,,2.0,2.0,5.0,,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,"It tastes good, I need the caffeine",,Yes,No,$4-$6,$6-$8,Yes,$50-$100,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
49,49,49,49,49,49,49,49,49,49,BGbJzQ,35-44 years old,1,"At home, At the office, On the go","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,"National chain (e.g. Starbucks, Dunkin)",,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Whole milk, Half and half",Brown Sugar,Chocolatey,Medium,Light,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,50,50,50,50,50,50,50,50,OABqpR,25-34 years old,1,At home,French press,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Almond milk,,Chocolatey,Medium,Medium,Half caff,7.0,4.0,4.0,1.0,,3.0,3.0,3.0,,4.0,4.0,2.0,,3.0,3.0,2.0,,Coffee B,Coffee D,Coffee B,,,,,,,,,,,,,,,,,,,
51,51,51,51,51,51,51,51,51,51,bl41Zg,45-54 years old,Less than 1,At a cafe,,,,,Iced coffee,,Sugar or sweetener,,,Granulated Sugar,Sweet,Somewhat strong,Medium,Half caff,2.0,2.0,4.0,4.0,,2.0,3.0,2.0,,4.0,2.0,5.0,,4.0,2.0,4.0,,Coffee C,Coffee A,Coffee D,I primarily work in person,<$20,"It tastes good, I need the caffeine",,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
52,52,52,52,52,52,52,52,52,52,GrBVrk,25-34 years old,1,On the go,,,Deli or supermarket,,Cold brew,,No - just black,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,1.0,2.0,2.0,3.0,,2.0,2.0,3.0,,3.0,4.0,3.0,,4.0,3.0,2.0,,Coffee B,Coffee A,Coffee C,,,,,,,,,,,,,,,,,,,
53,53,53,53,53,53,53,53,53,53,WApbYk,35-44 years old,1,"At the office, At home",Other,Aeropress,,,Americano,,"Milk, dairy alternative, or coffee creamer",,"Oat milk, Soy milk",,Nutty,Medium,Light,Full caffeine,7.0,4.0,3.0,3.0,"Bitter, soft",2.0,3.0,2.0,"Hazelnut, bold",2.0,4.0,1.0,Dark roast,2.0,2.0,5.0,"Fruity, light",Coffee A,Coffee D,Coffee D,I primarily work from home,,"I need the ritual, It tastes good",,Yes,Yes,$8-$10,$4-$6,Yes,$100-$300,Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
54,54,54,54,54,54,54,54,54,54,eBxG20,35-44 years old,3,"At home, At the office","Espresso, Pour over, French press, Cold brew",,,,Espresso,,No - just black,,,,Nutty,Somewhat strong,Medium,Half caff,8.0,1.0,1.0,1.0,This is just an audit to test if outliers are filtered away,2.0,2.0,2.0,I personally did not have a tasting kit,3.0,3.0,3.0,But the form does not ask me for a kit identifier,4.0,4.0,4.0,A small mistake to fix next time ;),Coffee A,Coffee D,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",No,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
55,55,55,55,55,55,55,55,55,55,24x9NA,25-34 years old,2,At home,"Pour over, Instant coffee, Cold brew",,,,Pourover,,"No - just black, Other",Occasionally I will add collagen powder if I made instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,56,56,56,56,56,56,56,56,NAB2qB,25-34 years old,2,At home,Espresso,,,,Cortado,,No - just black,,,,Chocolatey,Somewhat strong,Dark,Full caffeine,7.0,2.0,4.0,3.0,,4.0,3.0,5.0,,3.0,3.0,4.0,,2.0,5.0,2.0,,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the ritual",,Yes,No,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
57,57,57,57,57,57,57,57,57,57,RzBqoJ,35-44 years old,2,At home,"Espresso, Cold brew, Pour over",,,,Cold brew,,No - just black,,,,Nutty,Medium,Light,Full caffeine,7.0,1.0,2.0,4.0,,4.0,2.0,2.0,,2.0,3.0,3.0,,3.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"I need the ritual, It tastes good, I need the caffeine",,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
58,58,58,58,58,58,58,58,58,58,jB98xY,35-44 years old,Less than 1,On the go,,,Local cafe,,Espresso,,,,,,Nutty,Very strong,Medium,Half caff,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,59,59,59,59,59,59,59,59,LdMxB2,35-44 years old,2,"At the office, At home, On the go","Espresso, Cold brew",,Local cafe,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,"Oat milk, Soy milk",,Full Bodied,,Medium,Full caffeine,6.0,2.0,2.0,,"Sweet, light honey/toasty notes",4.0,2.0,,"Peanut, malt, notable bitterness. A bit thick in texture.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,60,60,60,60,60,60,60,60,GrBOrz,25-34 years old,,,,,,,,,"Milk, dairy alternative, or coffee creamer, No - just black",,Oat milk,,Chocolatey,Medium,Dark,,5.0,2.0,4.0,,Very bright and juicy not my personal preference,3.0,3.0,3.0,Tasted kind of milky and smoooth but the flavor felt very muddy,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
61,61,61,61,61,61,61,61,61,61,5dqajd,25-34 years old,More than 4,"At home, At a cafe",Other,Areopress,,,Cappuccino,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,,5.0,1.0,2.0,,3.0,3.0,3.0,,1.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"I need the ritual, I need the caffeine, It tastes good",,Yes,Yes,$6-$8,More than $20,Yes,$300-$500,No,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
62,62,62,62,62,62,62,62,62,62,VZ1W0E,35-44 years old,More than 4,"At home, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,,,Espresso,,No - just black,,,,Bold,Very strong,Medium,Full caffeine,8.0,1.0,1.0,4.0,,3.0,2.0,3.0,,1.0,1.0,3.0,,1.0,4.0,1.0,,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation
63,63,63,63,63,63,63,63,63,63,NABN5G,45-54 years old,More than 4,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Other",Aeropress,,,Americano,,No - just black,,,,Bold,Somewhat strong,Dark,Half caff,6.0,2.0,5.0,1.0,,2.0,3.0,5.0,"Nice mouth feel, coats.",2.0,2.0,3.0,,2.0,5.0,1.0,Unripe fruit.,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"It tastes good, I need the ritual",,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,,,,,,,
64,64,64,64,64,64,64,64,64,64,6dQY8o,25-34 years old,2,"At home, At a cafe, On the go, At the office","Pour over, Espresso",,Specialty coffee shop,,Cappuccino,,No - just black,,,,Juicy,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,"Fruity aroma, lighter mouthfeel, lemony-citrusy taste.",4.0,2.0,4.0,"Darker, chocolatey, least aromatic/metallic smell. Full bodied mouthfeel.",4.0,3.0,3.0,"Vegetal initial aroma, some astringency. Least favorite.",1.0,4.0,5.0,"Personal favorite. Sweet smell, berry-like taste, light/medium mouthfeel.",Coffee A,Coffee D,Coffee D,I primarily work in person,>$100,"It tastes good, I need the ritual",,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat
65,65,65,65,65,65,65,65,65,65,WAp6va,45-54 years old,More than 4,At home,"Espresso, Bean-to-cup machine, Pour over",,,,Espresso,,"Milk, dairy alternative, or coffee creamer",,Half and half,,Bold,Somewhat strong,Dark,Full caffeine,8.0,2.0,4.0,2.0,,3.0,2.0,4.0,,3.0,3.0,3.0,,3.0,4.0,2.0,,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the ritual, I need the caffeine",,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,,Master's degree,Hispanic/Latino,,Employed full-time,3,Independent
66,66,66,66,66,66,66,66,66,66,EPbVGA,25-34 years old,,"At home, At the office, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,,Granulated Sugar,Chocolatey,Medium,Medium,Full caffeine,,3.0,,4.0,,2.0,,3.0,,,,,,,,,,Coffee A,Coffee A,,,,,,,,,,,,,,,,,,,,
67,67,67,67,67,67,67,67,67,67,OABqQp,35-44 years old,2,"On the go, At a cafe, At the office",,,"Local cafe, National chain (e.g. Starbucks, Dunkin)",,Latte,,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black",,"Whole milk, Half and half, Flavored coffee creamer","Raw Sugar (Turbinado), Brown Sugar",Sweet,Very strong,Medium,Full caffeine,3.0,2.0,2.0,5.0,,2.0,2.0,4.0,,2.0,2.0,4.0,,2.0,2.0,4.0,Blueberries,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the caffeine, I need the ritual",,Yes,Yes,$4-$6,$6-$8,Yes,$20-$50,Yes,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation
68,68,68,68,68,68,68,68,68,68,DVvOop,35-44 years old,2,At home,Espresso,,,,Cold brew,,Other,Coconut,,,Nutty,Somewhat strong,Dark,Full caffeine,5.0,3.0,3.0,,Orange,3.0,,3.0,Nutty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
